zipcode,city,county,ziptype
75246,Dallas,Dallas,Standard
75247,Dallas,Dallas,Standard
75248,Dallas,Dallas,Standard
75249,Dallas,Dallas,Standard
75250,Dallas,Dallas,Box
75251,Dallas,Dallas,Standard
75252,Dallas,Collin,Standard
75253,Dallas,Dallas,Standard
75254,Dallas,Dallas,Standard
75260,Dallas,Dallas,Standard
75261,Dallas,Dallas,Box
75262,Dallas,Dallas,Box
75263,Dallas,Dallas,Box
75264,Dallas,Dallas,Box
75265,Dallas,Dallas,Box
75266,Dallas,Dallas,Box
75267,Dallas,Dallas,Box
75270,Dallas,Dallas,Standard
75275,Dallas,Dallas,Unique
75277,Dallas,Dallas,Unique
75283,Dallas,Dallas,Unique
75284,Dallas,Dallas,Unique
75285,Dallas,Dallas,Unique
75287,Dallas,Collin,Standard
75301,Dallas,Dallas,Unique
75303,Dallas,Dallas,Unique
75312,Dallas,Dallas,Unique
75313,Dallas,Dallas,Box
75315,Dallas,Dallas,Box
75320,Dallas,Dallas,Unique
75326,Dallas,Dallas,Unique
75336,Dallas,Dallas,Box
75339,Dallas,Dallas,Box
75342,Dallas,Dallas,Box
75354,Dallas,Dallas,Box
75355,Dallas,Dallas,Box
75356,Dallas,Dallas,Box
75357,Dallas,Dallas,Box
75358,Dallas,Dallas,Unique
75359,Dallas,Dallas,Box
75360,Dallas,Dallas,Box
75367,Dallas,Dallas,Box
75368,Dallas,Dallas,Unique
75370,Dallas,Dallas,Box
75371,Dallas,Dallas,Box
75372,Dallas,Dallas,Box
75373,Dallas,Dallas,Unique
75374,Dallas,Dallas,Box
75376,Dallas,Dallas,Box
75378,Dallas,Dallas,Box
75379,Dallas,Dallas,Box
75380,Dallas,Dallas,Box
75381,Dallas,Dallas,Box
75382,Dallas,Dallas,Box
75389,Dallas,Dallas,Unique
75390,Dallas,Dallas,Unique
75391,Dallas,Dallas,Unique
75392,Dallas,Dallas,Unique
75393,Dallas,Dallas,Unique
75394,Dallas,Dallas,Unique
75395,Dallas,Dallas,Unique
75397,Dallas,Dallas,Unique
75398,Dallas,Dallas,Standard
75401,Greenville,Hunt,Standard
75402,Greenville,Hunt,Standard
75403,Greenville,Hunt,Box
75404,Greenville,Hunt,Box
75407,Princeton,Collin,Standard
75409,Anna,Collin,Standard
75410,Alba,Wood,Standard
75411,City,Lamar,Standard
75412,Bagwell,River,Standard
75413,Bailey,Fannin,Box
75414,Bells,Grayson,Standard
75415,Franklin,Delta,Standard
75416,Blossom,Lamar,Standard
75417,Bogata,River,Standard
75418,Bonham,Fannin,Standard
75420,Brashear,Hopkins,Standard
75421,Brookston,Lamar,Standard
75422,Campbell,Hunt,Standard
75423,Celeste,Hunt,Standard
75424,Ridge,Collin,Standard
75425,Chicota,Lamar,Box
75426,Clarksville,River,Standard
75428,Commerce,Hunt,Standard
75429,Commerce,Hunt,Box
75431,Como,Hopkins,Standard
75432,Cooper,Delta,Standard
75433,Cumby,Hopkins,Standard
75434,Cunningham,Lamar,Box
75435,Deport,Lamar,Standard
75436,Detroit,River,Standard
75437,Dike,Hopkins,Standard
75438,City,Fannin,Standard
75439,Ector,Fannin,Standard
75440,Emory,Rains,Standard
75441,Enloe,Delta,Box
75442,Farmersville,Collin,Standard
75443,Gober,Fannin,Box
75444,Golden,Wood,Box
75446,Grove,Fannin,Standard
75447,Ivanhoe,Fannin,Standard
75448,Klondike,Delta,Standard
75449,Ladonia,Fannin,Standard
75450,Creek,Delta,Standard
75451,Leesburg,Camp,Standard
75452,Leonard,Fannin,Standard
75453,Oak,Hunt,Standard
75454,Melissa,Collin,Standard
75455,Pleasant,Titus,Standard
75456,Pleasant,Titus,Box
75457,Vernon,Franklin,Standard
75458,Merit,Hunt,Box
75459,Howe,Grayson,Standard
75460,Paris,Lamar,Standard
75461,Paris,Lamar,Box
75462,Paris,Lamar,Standard
75468,Pattonville,Lamar,Standard
75469,Gap,Delta,Standard
75470,Petty,Lamar,Standard
75471,Pickton,Hopkins,Standard
75472,Point,Rains,Standard
75473,Powderly,Lamar,Standard
75474,Quinlan,Hunt,Standard
75475,Randolph,Fannin,Box
75476,Ravenna,Fannin,Standard
75477,Roxton,Lamar,Standard
75478,Saltillo,Hopkins,Standard
75479,Savoy,Fannin,Standard
75480,Scroggins,Franklin,Standard
75481,Bluff,Hopkins,Standard
75482,Springs,Hopkins,Standard
75483,Springs,Hopkins,Box
75485,Westminster,Collin,Box
75486,Sumner,Lamar,Standard
75487,Talco,Franklin,Standard
75488,Telephone,Fannin,Standard
75489,Bean,Grayson,Box
75490,Trenton,Fannin,Standard
